Student,Date,Day,Hour,Traffic_Level,Predicted_FreeSpot_%
Student 92,2025-07-03,Thursday,10:45,Low,81.57
Student 93,2025-12-23,Tuesday,12:15,Low,94.16
Student 94,2025-10-27,Monday,13:00,Medium,65.0
Student 95,2025-06-21,Saturday,17:00,Low,98.95
Student 96,2025-09-13,Saturday,18:00,Low,90.99
Student 97,2025-01-02,Thursday,8:00,Low,89.74
Student 98,2025-10-11,Saturday,15:30,Low,98.51
Student 99,2025-01-14,Tuesday,12:15,Low,83.21
Student 100,2025-04-12,Saturday,18:45,Low,90.83
Student 101,2025-10-20,Monday,8:00,Medium,60.99
Student 102,2025-09-09,Tuesday,14:30,Low,80.79
Student 103,2025-08-20,Wednesday,9:45,Low,93.07
Student 104,2025-05-19,Monday,11:15,Low,71.27
Student 105,2025-02-09,Sunday,8:30,High,24.08
Student 106,2025-10-17,Friday,8:45,Low,71.96
Student 107,2025-08-03,Sunday,10:45,Low,80.38
Student 108,2025-06-09,Monday,11:30,High,20.22
Student 109,2025-03-17,Monday,15:30,Low,93.95
Student 110,2025-10-09,Thursday,11:30,Medium,55.65
Student 111,2025-12-13,Saturday,9:30,Low,70.45
Student 112,2025-08-12,Tuesday,18:15,Low,81.13
Student 113,2025-06-23,Monday,16:30,Low,97.43
Student 114,2025-11-10,Monday,11:30,High,13.08
Student 115,2025-08-18,Monday,8:15,Low,99.86
Student 116,2025-02-18,Tuesday,8:30,High,24.44
Student 117,2025-06-05,Thursday,14:45,Low,73.43
Student 118,2025-12-02,Tuesday,10:30,High,25.32
Student 119,2025-09-13,Saturday,18:45,Low,78.71
Student 120,2025-12-06,Saturday,13:00,Low,75.69
Student 121,2025-04-10,Thursday,18:00,Low,76.26
Student 122,2025-05-26,Monday,15:30,Low,96.92
Student 123,2025-07-20,Sunday,15:00,Low,76.54
Student 124,2025-01-10,Friday,8:30,Low,98.75
Student 125,2025-07-30,Wednesday,9:45,Low,83.52
Student 126,2025-04-26,Saturday,17:45,Low,97.79
Student 127,2025-11-07,Friday,15:30,Low,94.14
Student 128,2025-09-08,Monday,8:15,High,13.05
Student 129,2025-11-09,Sunday,18:00,Low,92.91
Student 130,2025-10-20,Monday,13:15,Medium,51.76
Student 131,2025-08-17,Sunday,18:15,Low,90.06
Student 132,2025-04-26,Saturday,11:30,Low,92.99
Student 133,2025-03-28,Friday,17:00,Low,97.58
Student 134,2025-12-22,Monday,8:45,Low,99.66
Student 135,2025-09-05,Friday,9:30,Low,85.84
Student 136,2025-06-17,Tuesday,16:00,Low,86.59
Student 137,2025-10-23,Thursday,17:30,Low,99.94
Student 138,2025-08-18,Monday,12:15,Low,76.51
Student 139,2025-07-18,Friday,13:45,Low,90.43
Student 140,2025-02-05,Wednesday,17:30,Low,71.57
Student 141,2025-02-12,Wednesday,13:00,Low,77.74
Student 142,2025-03-08,Saturday,18:00,Low,96.53
Student 143,2025-11-02,Sunday,16:30,Low,82.45
Student 144,2025-11-04,Tuesday,10:45,High,38.19
Student 145,2025-07-24,Thursday,15:30,Low,71.21
Student 146,2025-12-02,Tuesday,10:45,High,10.53
Student 147,2025-11-27,Thursday,14:15,Low,71.51
Student 148,2025-06-14,Saturday,10:00,Low,80.63
Student 149,2025-12-19,Friday,17:45,Low,71.14
Student 150,2025-06-30,Monday,18:00,Low,80.81
Student 151,2025-08-24,Sunday,9:15,Low,71.48
Student 152,2025-11-23,Sunday,14:15,Low,72.57
Student 153,2025-05-09,Friday,14:15,Low,76.99
Student 154,2025-02-06,Thursday,17:00,Low,99.4
Student 155,2025-04-09,Wednesday,17:15,Low,88.39
Student 156,2025-11-22,Saturday,10:45,Low,78.47
Student 157,2025-02-26,Wednesday,10:15,Low,78.24
Student 158,2025-02-13,Thursday,13:45,Medium,69.8
Student 159,2025-06-06,Friday,10:45,Low,91.54
Student 160,2025-01-21,Tuesday,13:45,Low,77.51
Student 161,2025-03-06,Thursday,8:00,Medium,62.59
Student 162,2025-03-28,Friday,17:45,Low,87.5
Student 163,2025-12-13,Saturday,15:45,Low,74.56
Student 164,2025-10-25,Saturday,15:30,Low,87.05
Student 165,2025-11-22,Saturday,16:30,Low,87.99
Student 166,2025-04-10,Thursday,8:15,Low,70.65
Student 167,2025-06-27,Friday,16:30,Low,72.85
Student 168,2025-12-09,Tuesday,18:30,Low,94.42
Student 169,2025-04-20,Sunday,11:00,High,14.85
Student 170,2025-01-01,Wednesday,8:30,Low,77.99
Student 171,2025-09-28,Sunday,12:15,Low,88.71
Student 172,2025-08-24,Sunday,17:45,Low,99.35
Student 173,2025-03-24,Monday,12:15,Medium,52.4
Student 174,2025-03-09,Sunday,11:30,Medium,46.82
Student 175,2025-02-24,Monday,14:00,Low,73.94
Student 176,2025-04-04,Friday,11:15,Low,83.51
Student 177,2025-11-10,Monday,13:15,Low,92.37
Student 178,2025-11-20,Thursday,16:45,Low,70.96
Student 179,2025-05-20,Tuesday,18:00,Low,72.81
Student 180,2025-03-11,Tuesday,8:15,Medium,53.06
Student 181,2025-06-08,Sunday,11:00,High,19.12
Student 182,2025-06-02,Monday,15:00,Low,86.89
Student 183,2025-10-14,Tuesday,11:30,Medium,57.3
Student 184,2025-08-02,Saturday,11:15,Low,91.8
Student 185,2025-07-11,Friday,9:45,Low,99.13
Student 186,2025-05-29,Thursday,10:30,Low,78.64
Student 187,2025-11-21,Friday,15:00,Low,88.89
Student 188,2025-04-25,Friday,11:15,Low,90.85
Student 189,2025-01-12,Sunday,12:00,Low,89.84
Student 190,2025-08-16,Saturday,8:00,Low,92.06
Student 191,2025-01-13,Monday,10:00,Low,90.72
Student 192,2025-11-25,Tuesday,10:45,High,21.12
Student 193,2025-08-21,Thursday,8:15,Low,97.17
Student 194,2025-12-02,Tuesday,10:45,High,15.54
Student 195,2025-01-18,Saturday,17:15,Low,73.28
Student 196,2025-10-27,Monday,16:15,Low,88.2
Student 197,2025-01-13,Monday,15:15,Low,77.95
Student 198,2025-08-23,Saturday,12:30,Low,98.8
Student 199,2025-08-18,Monday,17:15,Low,77.13
Student 200,2025-04-27,Sunday,14:30,Low,96.28
Student 201,2025-12-23,Tuesday,11:45,Low,91.37
Student 202,2025-08-01,Friday,9:45,Low,78.16
Student 203,2025-04-13,Sunday,18:45,Low,98.95
Student 204,2025-05-02,Friday,14:45,Low,85.01
Student 205,2025-10-13,Monday,10:45,Medium,59.94
Student 206,2025-03-30,Sunday,9:00,Medium,55.78
Student 207,2025-07-24,Thursday,16:30,Low,85.34
Student 208,2025-09-23,Tuesday,17:15,Low,73.72
Student 209,2025-09-28,Sunday,13:15,Low,80.49
Student 210,2025-11-20,Thursday,18:15,Low,87.78
Student 211,2025-01-17,Friday,12:30,Low,76.22
Student 212,2025-09-21,Sunday,10:45,Low,95.64
Student 213,2025-11-16,Sunday,14:15,Low,82.28
Student 214,2025-10-31,Friday,9:45,Low,82.0
Student 215,2025-08-24,Sunday,13:00,Low,88.91
Student 216,2025-01-18,Saturday,9:45,Low,86.89
Student 217,2025-06-02,Monday,12:45,High,37.66
Student 218,2025-02-27,Thursday,8:00,Low,73.31
Student 219,2025-01-17,Friday,11:15,Low,97.95
Student 220,2025-08-22,Friday,11:00,Low,79.6
Student 221,2025-02-18,Tuesday,12:30,High,33.6
Student 222,2025-12-03,Wednesday,11:00,High,16.93
Student 223,2025-01-15,Wednesday,14:45,Low,82.89
Student 224,2025-07-08,Tuesday,9:45,Low,80.51
Student 225,2025-12-01,Monday,12:45,High,17.11
Student 226,2025-01-15,Wednesday,13:15,Low,86.11
Student 227,2025-06-14,Saturday,8:15,Low,70.25
Student 228,2025-06-19,Thursday,14:15,Low,96.38
Student 229,2025-06-21,Saturday,18:30,Low,85.76
Student 230,2025-12-14,Sunday,12:00,High,33.89
Student 231,2025-10-20,Monday,9:30,Medium,46.9
Student 232,2025-06-14,Saturday,16:15,Low,92.67
Student 233,2025-01-13,Monday,17:00,Low,95.87
Student 234,2025-03-27,Thursday,15:00,Low,94.34
Student 235,2025-12-07,Sunday,12:45,High,24.68
Student 236,2025-11-10,Monday,16:15,Low,77.72
Student 237,2025-03-22,Saturday,15:45,Low,78.21
Student 238,2025-04-12,Saturday,8:30,Low,83.03
Student 239,2025-11-03,Monday,14:15,Low,90.77
Student 240,2025-05-22,Thursday,16:45,Low,93.42
Student 241,2025-01-13,Monday,14:30,Low,98.25
Student 242,2025-07-10,Thursday,15:30,Low,87.92
Student 243,2025-04-14,Monday,14:45,Low,75.64
Student 244,2025-12-03,Wednesday,11:15,High,18.7
Student 245,2025-08-15,Friday,9:00,Low,85.55
Student 246,2025-07-02,Wednesday,16:00,Low,95.88
Student 247,2025-01-18,Saturday,18:45,Low,92.86
Student 248,2025-06-24,Tuesday,9:30,Medium,46.69
Student 249,2025-08-20,Wednesday,17:30,Low,78.1
Student 250,2025-12-27,Saturday,17:15,Low,70.04
Student 251,2025-04-01,Tuesday,15:00,Low,86.38
Student 252,2025-10-05,Sunday,18:45,Low,84.85
Student 253,2025-03-15,Saturday,11:45,Low,81.79
Student 254,2025-05-10,Saturday,14:15,Low,71.25
Student 255,2025-07-18,Friday,11:45,Low,71.93
Student 256,2025-05-17,Saturday,16:45,Low,98.93
Student 257,2025-05-01,Thursday,17:00,Low,74.02
Student 258,2025-11-09,Sunday,10:45,High,27.29
Student 259,2025-01-02,Thursday,14:15,Low,74.9
Student 260,2025-05-28,Wednesday,11:45,Low,83.64
Student 261,2025-05-25,Sunday,8:15,Low,72.2
Student 262,2025-09-05,Friday,14:45,Low,88.69
Student 263,2025-07-27,Sunday,12:45,Low,93.76
Student 264,2025-01-05,Sunday,11:15,Low,79.72
Student 265,2025-04-08,Tuesday,15:15,Low,85.73
Student 266,2025-10-14,Tuesday,10:45,Medium,46.1
Student 267,2025-02-07,Friday,17:00,Low,97.91
Student 268,2025-02-03,Monday,11:30,High,22.69
Student 269,2025-02-21,Friday,11:15,Low,83.29
Student 270,2025-01-05,Sunday,17:30,Low,77.76
Student 271,2025-03-21,Friday,17:00,Low,74.85
Student 272,2025-01-15,Wednesday,15:30,Low,92.33
Student 273,2025-03-19,Wednesday,13:45,Medium,48.06
Student 274,2025-09-17,Wednesday,17:00,Low,89.01
Student 275,2025-04-09,Wednesday,8:15,High,34.42
Student 276,2025-02-01,Saturday,9:30,Low,72.26
Student 277,2025-02-17,Monday,8:30,High,25.15
Student 278,2025-07-30,Wednesday,18:00,Low,79.29
Student 279,2025-03-18,Tuesday,17:45,Low,78.49
Student 280,2025-01-15,Wednesday,13:45,Low,93.73
Student 281,2025-03-23,Sunday,15:45,Low,80.03
Student 282,2025-02-08,Saturday,13:30,Low,77.64
Student 283,2025-02-13,Thursday,11:45,Medium,67.54
Student 284,2025-07-15,Tuesday,15:00,Low,92.32
Student 285,2025-07-14,Monday,8:15,Low,78.56
Student 286,2025-12-22,Monday,15:45,Low,90.63
Student 287,2025-06-22,Sunday,13:45,Medium,60.66
Student 288,2025-04-09,Wednesday,13:30,Low,76.81
Student 289,2025-01-10,Friday,12:15,Low,86.88
Student 290,2025-09-04,Thursday,10:00,Low,88.27
Student 291,2025-07-21,Monday,8:15,Low,77.28
Student 292,2025-10-24,Friday,9:45,Low,84.49
Student 293,2025-03-09,Sunday,12:45,Medium,53.54
Student 294,2025-05-12,Monday,10:15,Low,81.85
Student 295,2025-07-03,Thursday,11:15,Low,80.79
Student 296,2025-01-12,Sunday,16:15,Low,94.16
Student 297,2025-02-24,Monday,15:30,Low,86.99
Student 298,2025-04-15,Tuesday,18:45,Low,79.2
Student 299,2025-12-07,Sunday,14:30,Low,70.95
Student 300,2025-12-26,Friday,16:00,Low,91.63
Student 301,2025-04-16,Wednesday,15:45,Low,82.42
Student 302,2025-07-09,Wednesday,10:45,Low,73.9
Student 303,2025-04-20,Sunday,11:30,High,19.29
Student 304,2025-02-18,Tuesday,10:45,High,24.95
Student 305,2025-09-11,Thursday,16:15,Low,80.77
Student 306,2025-05-26,Monday,13:45,Low,85.6
Student 307,2025-05-07,Wednesday,14:30,Low,97.15
Student 308,2025-03-25,Tuesday,14:30,Medium,42.07
Student 309,2025-12-31,Wednesday,14:30,Low,79.58
Student 310,2025-11-23,Sunday,12:30,High,22.28
Student 311,2025-03-10,Monday,17:45,Low,99.35
Student 312,2025-06-29,Sunday,11:30,Medium,66.19
Student 313,2025-10-29,Wednesday,14:45,Medium,49.3
Student 314,2025-06-19,Thursday,13:15,Medium,64.2
Student 315,2025-07-01,Tuesday,9:15,Low,88.23
Student 316,2025-10-19,Sunday,13:45,Medium,69.88
Student 317,2025-05-20,Tuesday,13:00,Low,83.98
Student 318,2025-02-06,Thursday,13:45,Medium,43.98
Student 319,2025-07-23,Wednesday,9:15,Low,75.63
Student 320,2025-01-03,Friday,12:45,Low,77.56
Student 321,2025-03-01,Saturday,9:00,Low,82.07
Student 322,2025-04-02,Wednesday,8:00,High,12.79
Student 323,2025-05-03,Saturday,12:45,Low,97.97
Student 324,2025-08-15,Friday,16:45,Low,81.59
Student 325,2025-09-05,Friday,9:30,Low,97.91
Student 326,2025-02-03,Monday,15:30,Low,82.72
Student 327,2025-09-05,Friday,17:00,Low,76.88
Student 328,2025-01-24,Friday,14:30,Low,71.57
Student 329,2025-12-10,Wednesday,15:30,Low,93.82
Student 330,2025-09-16,Tuesday,8:15,High,17.8
Student 331,2025-09-06,Saturday,13:30,Low,93.31
Student 332,2025-09-10,Wednesday,13:15,Low,77.68
Student 333,2025-02-21,Friday,10:15,Low,72.8
Student 334,2025-04-29,Tuesday,17:45,Low,75.97
Student 335,2025-05-25,Sunday,17:15,Low,89.42
Student 336,2025-11-07,Friday,14:45,Low,77.16
Student 337,2025-04-21,Monday,12:00,High,36.84
Student 338,2025-10-26,Sunday,12:45,Medium,51.22
Student 339,2025-02-01,Saturday,9:15,Low,95.89
Student 340,2025-08-01,Friday,9:30,Low,86.59
Student 341,2025-07-19,Saturday,17:30,Low,74.3
Student 342,2025-08-04,Monday,17:30,Low,89.17
Student 343,2025-01-03,Friday,11:45,Low,96.24
Student 344,2025-10-18,Saturday,9:30,Low,98.59
Student 345,2025-03-26,Wednesday,15:45,Low,70.22
Student 346,2025-01-24,Friday,15:30,Low,74.86
Student 347,2025-05-16,Friday,16:30,Low,76.53
Student 348,2025-12-27,Saturday,12:15,Low,70.91
Student 349,2025-11-21,Friday,14:15,Low,74.0
Student 350,2025-05-24,Saturday,11:00,Low,90.68
Student 351,2025-11-14,Friday,18:45,Low,87.16
Student 352,2025-08-29,Friday,9:15,Low,87.42
Student 353,2025-04-30,Wednesday,16:45,Low,78.63
Student 354,2025-08-08,Friday,14:30,Low,92.9
Student 355,2025-02-24,Monday,15:30,Low,82.15
Student 356,2025-04-11,Friday,11:15,Low,95.85
Student 357,2025-08-30,Saturday,8:15,Low,86.41
Student 358,2025-03-23,Sunday,10:00,Medium,48.62
Student 359,2025-02-03,Monday,9:30,High,35.6
Student 360,2025-10-23,Thursday,17:45,Low,93.96
Student 361,2025-04-06,Sunday,14:30,Low,77.06
Student 362,2025-08-29,Friday,8:45,Low,87.05
Student 363,2025-05-03,Saturday,18:00,Low,80.57
Student 364,2025-07-11,Friday,11:30,Low,85.68
Student 365,2025-12-30,Tuesday,14:15,Low,75.65
Student 366,2025-08-21,Thursday,10:00,Low,95.98
Student 367,2025-05-30,Friday,18:15,Low,95.74
Student 368,2025-10-27,Monday,9:30,Medium,67.62
Student 369,2025-03-28,Friday,17:45,Low,94.2
Student 370,2025-11-29,Saturday,10:15,Low,99.56
Student 371,2025-03-15,Saturday,18:15,Low,92.3
Student 372,2025-08-27,Wednesday,8:00,Low,78.39
Student 373,2025-07-07,Monday,14:15,Low,79.72
Student 374,2025-06-10,Tuesday,11:30,High,33.99
Student 375,2025-05-21,Wednesday,18:00,Low,91.6
Student 376,2025-05-12,Monday,10:30,Low,91.72
Student 377,2025-09-29,Monday,14:30,Low,97.66
Student 378,2025-05-29,Thursday,18:00,Low,92.87
Student 379,2025-12-13,Saturday,18:45,Low,81.59
Student 380,2025-11-25,Tuesday,8:15,High,20.61
Student 381,2025-09-28,Sunday,15:45,Low,71.54
Student 382,2025-01-17,Friday,14:15,Low,96.41
Student 383,2025-03-02,Sunday,13:30,Medium,46.95
Student 384,2025-03-07,Friday,14:30,Low,75.68
Student 385,2025-01-04,Saturday,15:30,Low,96.23
Student 386,2025-04-24,Thursday,16:00,Low,89.36
Student 387,2025-04-02,Wednesday,10:00,High,29.91
Student 388,2025-01-20,Monday,11:15,Low,81.91
Student 389,2025-12-24,Wednesday,17:00,Low,77.94
Student 390,2025-04-24,Thursday,10:00,Low,71.53
Student 391,2025-06-01,Sunday,13:45,Low,74.75
Student 392,2025-07-06,Sunday,12:30,Low,89.37
Student 393,2025-08-17,Sunday,18:30,Low,76.01
Student 394,2025-10-19,Sunday,17:15,Low,87.09
Student 395,2025-04-10,Thursday,14:45,Low,90.35
Student 396,2025-06-18,Wednesday,16:00,Low,97.8
Student 397,2025-12-08,Monday,17:00,Low,99.15
Student 398,2025-02-16,Sunday,15:15,Low,98.66
Student 399,2025-09-22,Monday,17:15,Low,82.91
Student 400,2025-02-19,Wednesday,16:30,Low,95.72
Student 401,2025-11-24,Monday,8:15,High,12.17
Student 402,2025-06-24,Tuesday,12:30,Medium,43.38
Student 403,2025-01-11,Saturday,12:00,Low,90.03
Student 404,2025-04-28,Monday,8:00,High,31.52
Student 405,2025-03-29,Saturday,12:00,Low,70.79
Student 406,2025-01-10,Friday,11:00,Low,98.07
Student 407,2025-07-02,Wednesday,8:30,Low,75.17
Student 408,2025-08-18,Monday,11:00,Low,83.9
Student 409,2025-12-08,Monday,8:15,High,10.52
Student 410,2025-09-12,Friday,18:30,Low,71.9
Student 411,2025-08-27,Wednesday,10:00,Low,81.37
Student 412,2025-07-05,Saturday,9:15,Low,81.99
Student 413,2025-01-12,Sunday,12:45,Low,90.49
Student 414,2025-10-31,Friday,18:15,Low,75.3
Student 415,2025-10-26,Sunday,9:45,Medium,46.31
Student 416,2025-05-21,Wednesday,8:30,Low,92.93
Student 417,2025-11-07,Friday,13:45,Low,96.43
Student 418,2025-09-29,Monday,12:45,Low,79.89
Student 419,2025-07-25,Friday,8:30,Low,86.91
Student 420,2025-12-05,Friday,11:45,Low,86.6
Student 421,2025-09-23,Tuesday,8:30,Low,92.68
Student 422,2025-10-15,Wednesday,14:45,Medium,48.3
Student 423,2025-04-09,Wednesday,9:45,High,36.2
Student 424,2025-05-22,Thursday,8:00,Low,94.26
Student 425,2025-07-02,Wednesday,16:30,Low,86.35
Student 426,2025-01-13,Monday,9:00,Low,85.86
Student 427,2025-02-07,Friday,12:45,Low,88.2
Student 428,2025-12-17,Wednesday,8:30,High,36.58
Student 429,2025-07-10,Thursday,12:30,Low,83.79
Student 430,2025-02-13,Thursday,18:00,Low,84.65
Student 431,2025-05-22,Thursday,13:00,Medium,47.62
Student 432,2025-05-01,Thursday,17:15,Low,85.72
Student 433,2025-02-18,Tuesday,10:00,High,36.01
Student 434,2025-09-18,Thursday,18:00,Low,96.1
Student 435,2025-01-01,Wednesday,11:45,Low,90.69
Student 436,2025-01-09,Thursday,14:30,Low,86.45
Student 437,2025-11-01,Saturday,11:15,Low,76.34
Student 438,2025-02-24,Monday,10:00,Low,92.04
Student 439,2025-03-23,Sunday,13:45,Medium,66.11
Student 440,2025-11-08,Saturday,10:30,Low,81.66
Student 441,2025-12-08,Monday,11:15,High,13.97
Student 442,2025-02-06,Thursday,10:45,Low,99.62
Student 443,2025-12-04,Thursday,17:15,Low,79.91
Student 444,2025-02-07,Friday,18:15,Low,87.4
Student 445,2025-07-06,Sunday,9:30,Low,96.04
Student 446,2025-11-08,Saturday,10:00,Low,99.47
Student 447,2025-12-29,Monday,15:30,Low,77.9
Student 448,2025-05-29,Thursday,13:45,Medium,48.2
Student 449,2025-03-13,Thursday,9:30,Medium,58.79
Student 450,2025-04-07,Monday,11:30,High,11.98
Student 451,2025-08-11,Monday,9:00,Low,77.35
Student 452,2025-02-15,Saturday,15:45,Low,95.94
Student 453,2025-01-16,Thursday,18:30,Low,84.12
Student 454,2025-08-29,Friday,12:00,Low,71.22
Student 455,2025-09-20,Saturday,17:00,Low,76.81
Student 456,2025-02-17,Monday,9:00,High,15.46
Student 457,2025-01-29,Wednesday,15:15,Low,92.79
Student 458,2025-02-14,Friday,8:45,Low,75.88
Student 459,2025-01-23,Thursday,16:15,Low,94.55
Student 460,2025-02-10,Monday,14:15,Low,73.27
Student 461,2025-03-03,Monday,13:15,Medium,60.16
Student 462,2025-05-24,Saturday,8:15,Low,85.82
Student 463,2025-01-26,Sunday,8:00,Low,79.21
Student 464,2025-01-16,Thursday,12:00,Low,85.61
Student 465,2025-11-06,Thursday,8:30,Low,94.32
Student 466,2025-05-10,Saturday,15:30,Low,84.02
Student 467,2025-08-21,Thursday,9:30,Low,93.54
Student 468,2025-01-03,Friday,17:30,Low,97.21
Student 469,2025-11-02,Sunday,16:45,Low,74.47
Student 470,2025-09-10,Wednesday,18:15,Low,78.79
Student 471,2025-12-18,Thursday,18:00,Low,74.41
Student 472,2025-05-28,Wednesday,8:45,Low,97.41
Student 473,2025-01-30,Thursday,9:30,Low,99.33
Student 474,2025-06-28,Saturday,13:30,Low,81.74
Student 475,2025-08-10,Sunday,17:45,Low,79.62
Student 476,2025-01-21,Tuesday,18:00,Low,90.28
Student 477,2025-08-24,Sunday,13:15,Low,85.2
Student 478,2025-02-05,Wednesday,15:15,Low,90.72
Student 479,2025-02-03,Monday,13:45,Low,89.94
Student 480,2025-03-11,Tuesday,15:45,Low,71.9
Student 481,2025-12-10,Wednesday,11:45,High,10.21
Student 482,2025-04-30,Wednesday,9:15,High,18.26
Student 483,2025-11-21,Friday,12:00,Low,95.54
Student 484,2025-11-04,Tuesday,17:00,Low,99.05
Student 485,2025-03-03,Monday,11:15,Medium,46.91
Student 486,2025-11-03,Monday,16:45,Low,90.72
Student 487,2025-06-28,Saturday,11:15,Low,70.7
Student 488,2025-05-08,Thursday,12:15,Medium,65.24
Student 489,2025-12-24,Wednesday,16:15,Low,99.3
Student 490,2025-11-09,Sunday,15:45,Low,87.14
Student 491,2025-06-04,Wednesday,9:00,High,25.91
Student 492,2025-07-31,Thursday,18:15,Low,98.43
Student 493,2025-04-22,Tuesday,10:15,High,21.56
Student 494,2025-09-05,Friday,9:15,Low,90.38
Student 495,2025-02-09,Sunday,9:15,High,22.85
Student 496,2025-09-19,Friday,11:15,Low,81.11
Student 497,2025-10-08,Wednesday,14:30,Medium,69.04
Student 498,2025-09-02,Tuesday,18:45,Low,91.65
Student 499,2025-09-07,Sunday,11:15,High,35.45
